,DIRECT_NA_NA_VSM,NONETRACED_MAX_MULTI_LSA,Associated
733,0.107,0.5811141720232629,NO
734,0.226,0.4259259259259258,YES
735,0.4184,0.4895928986838077,YES
736,0.1111,0.5344352617079889,NO
737,0.1017,0.7405876951331496,NO
738,0.09699999999999999,0.6691153963881236,NO
739,0.1058,0.7064585246403428,NO
740,0.1741,0.6568717477808386,NO
741,0.1373,0.4132231404958676,NO
742,0.132,0.4880624426078971,NO
743,0.1138,0.478267523722069,YES
744,0.0766,0.5537190082644627,NO
745,0.3242,0.5062748699112334,YES
746,0.0297,0.5528007346189163,NO
747,0.3407,0.3751147842056931,YES
748,0.0387,0.6723293541475359,NO
749,0.0621,0.6124885215794305,NO
750,0.076,0.5162228344046524,NO
751,0.1266,0.689776553412917,NO
752,0.0726,0.5918273645546372,NO
753,0.192,0.7206917661463115,NO
754,0.1128,0.6424854606672787,NO
755,0.0813,0.6438628711355985,NO
756,0.1238,0.4970921334557696,NO
757,0.0659,0.4395469850015303,NO
758,0.0991,0.3996020814202631,NO
759,0.2168,0.4794918885827976,NO
760,0.0941,0.4487297214569941,NO
761,0.1226,0.4378634833180287,NO
762,0.0797,0.502754820936639,NO
763,0.0869,0.3466483011937557,NO
764,0.1921,0.31971227425772863,NO
765,0.2119,0.35858585858585856,YES
766,0.0845,0.4265381083562901,NO
767,0.1963,0.3350168350168349,YES
768,0.24100000000000002,0.4167431894704621,NO
769,0.263,0.43342516069788783,NO
770,0.2504,0.2829813284358739,NO
771,0.1414,0.4126109580655035,NO
772,0.0983,0.5895316804407713,NO
773,0.1658,0.4415365779002141,NO
774,0.1333,0.3342516069788797,NO
775,0.2072,0.1932966023875113,NO
776,0.1519,0.4291398836853381,NO
777,0.1227,0.3816957453321089,YES
778,0.1324,0.5353535353535352,YES
779,0.1581,0.4429139883685337,YES
780,0.1927,0.36516681971227416,YES
781,0.1378,0.4675543311906946,NO
782,0.09699999999999999,0.4670951943679216,YES
783,0.11900000000000001,0.406642179369452,NO
784,0.3612,0.39715335169880617,YES
785,0.0488,0.4686256504438322,YES
786,0.2823,0.5580042852770124,NO
787,0.1584,0.6518212427303336,NO
788,0.065,0.5702479338842974,NO
789,0.0678,0.5076522803795529,NO
790,0.1652,0.3628711355984081,YES
791,0.4499,0.4222528313437404,YES
792,0.0947,0.4641873278236913,NO
793,0.1079,0.537037037037037,NO
794,0.0645,0.5896847260483622,NO
795,0.1095,0.5085705540250993,NO
796,0.1665,0.5782063054790327,NO
797,0.1472,0.35108662381389644,NO
798,0.1463,0.4208754208754208,NO
799,0.1261,0.4118457300275481,YES
800,0.0528,0.4820936639118457,NO
801,0.3791,0.4378634833180287,YES
802,0.0329,0.4811753902662993,NO
803,0.3577,0.3155800428527701,YES
804,0.062,0.5925925925925923,NO
805,0.0477,0.5368839914294459,NO
806,0.0457,0.41521273339455145,NO
807,0.1274,0.6088154269972452,NO
808,0.0681,0.5176002448729722,NO
809,0.1427,0.6377410468319561,NO
810,0.0804,0.5647382920110191,NO
811,0.0769,0.5661157024793386,NO
812,0.1422,0.4722987450260177,NO
813,0.0613,0.4520967248239974,NO
814,0.1484,0.5376492194674012,NO
815,0.1778,0.7422711968166513,NO
816,0.1025,0.549586776859504,NO
817,0.1545,0.4970921334557696,NO
818,0.1529,0.5353535353535352,NO
819,0.1098,0.4044995408631771,NO
820,0.1753,0.4456688093051728,NO
821,0.1807,0.8761861034588305,YES
822,0.134,0.5687174778083868,NO
823,0.2818,0.7708907254361799,YES
824,0.2438,0.5573921028466482,NO
825,0.2385,0.5442301805938168,NO
826,0.2176,0.4188858279767371,NO
827,0.0807,0.4005203550658095,NO
828,0.0972,0.5387205387205385,NO
829,0.0862,0.4198041016222833,NO
830,0.0815,0.4623507805325986,NO
831,0.2286,0.5127027854300581,NO
832,0.0804,0.5716253443526171,NO
833,0.0972,0.5365779002142637,YES
834,0.105,0.6749311294765841,YES
835,0.1237,0.5875420875420874,YES
836,0.2731,0.4993878175696356,YES
837,0.1937,0.6158555249464339,NO
838,0.1151,0.5442301805938168,YES
839,0.1052,0.5457606366697274,NO
