,DIRECT_NA_NA_VSM,NONETRACED_SUM_MULTI_LSA,Associated
733,0.107,0.3667325073322559,NO
734,0.226,0.3575387562099719,YES
735,0.4184,0.1803675106242892,YES
736,0.1111,0.16391931525707792,NO
737,0.1017,0.2342251750763153,NO
738,0.09699999999999999,0.3208954330520142,NO
739,0.1058,0.22148799904231764,NO
740,0.1741,0.2311725623989944,NO
741,0.1373,0.3030226851020531,NO
742,0.132,0.1715328904052194,NO
743,0.1138,0.22393008918417434,YES
744,0.0766,0.37944574130603936,NO
745,0.3242,0.20615310947507026,YES
746,0.0297,0.07484288022984376,NO
747,0.3407,0.06375770635063144,YES
748,0.0387,0.25389357754234754,NO
749,0.0621,0.2708206141138445,NO
750,0.076,0.3556233913928294,NO
751,0.1266,0.2106901298856767,NO
752,0.0726,0.3015741904590889,NO
753,0.192,0.3500448913629017,NO
754,0.1128,0.3869515771832166,NO
755,0.0813,0.1802837134135392,NO
756,0.1238,0.6436224337104208,NO
757,0.0659,0.6249955108637097,NO
758,0.0991,0.4305859819237445,NO
759,0.2168,0.4436583468007421,NO
760,0.0941,0.5406236906685821,NO
761,0.1226,0.7153887592027293,NO
762,0.0797,0.6982821571796254,NO
763,0.0869,0.4033758304902136,NO
764,0.1921,0.34484946429640273,NO
765,0.2119,0.3851678936972526,YES
766,0.0845,0.6507212545639554,NO
767,0.1963,0.37685999880289706,YES
768,0.24100000000000002,0.42961632848506615,NO
769,0.263,0.6033040043095709,NO
770,0.2504,0.3893098701143233,NO
771,0.1414,0.4504938049919195,NO
772,0.0983,0.7271921948883702,NO
773,0.1658,0.4059136888729276,NO
774,0.1333,0.2081762135631772,NO
775,0.2072,0.14500508768779552,NO
776,0.1519,0.4811755551565212,NO
777,0.1227,0.5327587238881907,YES
778,0.1324,0.6562039863530258,YES
779,0.1581,0.3574310169390076,YES
780,0.1927,0.6068713712814988,YES
781,0.1378,0.6364637577063507,NO
782,0.09699999999999999,0.7250254384389776,YES
783,0.11900000000000001,0.3320045489914407,NO
784,0.3612,0.24507092835338484,YES
785,0.0488,0.2152870054468188,YES
786,0.2823,0.1379062668342611,NO
787,0.1584,0.19607350212485786,NO
788,0.065,0.19214700424971565,NO
789,0.0678,0.26812713233973784,NO
790,0.1652,0.26368588016998873,YES
791,0.4499,0.10948704135990898,YES
792,0.0947,0.08413239959298502,NO
793,0.1079,0.15294188064882985,NO
794,0.0645,0.22827557311306634,NO
795,0.1095,0.1365894535224756,NO
796,0.1665,0.14936254264679474,NO
797,0.1472,0.2192374453821752,NO
798,0.1463,0.09974262285269647,NO
799,0.1261,0.14617824863829534,YES
800,0.0528,0.29574429879691144,NO
801,0.3791,0.13177709941940502,YES
802,0.0329,0.031232417549530163,NO
803,0.3577,0.0,YES
804,0.062,0.18428203746932426,NO
805,0.0477,0.19037529179385893,NO
806,0.0457,0.2686777997246663,NO
807,0.1274,0.13162147602801222,NO
808,0.0681,0.21428143891781887,NO
809,0.1427,0.2491530496199198,NO
810,0.0804,0.2869815047584845,NO
811,0.0769,0.10287903274076733,NO
812,0.1422,0.8065720955288203,NO
813,0.0613,0.7733046028610762,NO
814,0.1484,0.5829173400371102,NO
815,0.1778,0.5839707906865386,NO
816,0.1025,0.6629077632130245,NO
817,0.1545,0.9008798707128748,NO
818,0.1529,0.8778715508469503,NO
819,0.1098,0.5083378224696234,NO
820,0.1753,0.4908840605734124,NO
821,0.1807,0.5387921230621895,YES
822,0.134,0.8111091159394266,NO
823,0.2818,0.5434488537738673,YES
824,0.2438,0.5899922188304304,NO
825,0.2385,0.7762494762674328,NO
826,0.2176,0.5257317292152989,NO
827,0.0807,0.5940264559765367,NO
828,0.0972,0.9048422816783386,NO
829,0.0862,0.5366014245525828,NO
830,0.0815,0.3029029748009816,NO
831,0.2286,0.26185431256359604,NO
832,0.0804,0.6302388220506374,NO
833,0.0972,0.6601783683485963,YES
834,0.105,0.8177530376488897,YES
835,0.1237,0.5016340456096247,YES
836,0.2731,0.7563057401089364,YES
837,0.1937,0.8256658885497097,NO
838,0.1151,0.9122403782845514,YES
839,0.1052,0.4750224456814509,NO
